Genome	EHI00696	EHI00687	EHI00757	EHI00686	EHI00693	EHI00697	EHI00688	EHI00730	EHI00692	EHI00676	EHI00682	EHI00679	EHI00690	EHI00683	EHI00733	EHI00685	EHI00752	EHI00681	EHI00700	EHI00680	EHI00751	EHI00742	EHI00758	EHI00675	EHI00732	EHI00684	EHI00694	EHI00743	EHI00731	EHI00698	EHI00699	EHI00674	EHI00753	EHI00695	EHI00678	EHI00689	EHI00677	EHI00691
EHA00641_bin.11	68	22	92	10	21	16	169	231	255	43	10	90	10	106	34	271	479	7	25	214	45	166	0	165748	10	35	250	1935	284	15	24	1354	113	5	101	1	308	29
EHA00641_bin.12	189	4	78	1	1	20	3	61	9	6	17	16	8	8	204	43	0	2474	69	1	93	4	0	41221	488	55	15	352	19	5	24	183	70	1	29	24	0	6
EHA00641_bin.14	11753	208	3012	9	819	706	30	39844	810	1538	328	11438	286	34941	1054	33	1948	9	1955	376	318	3200	0	188628	94	349	44	3369	132	144	23440	1450	658	684	61945	32	19	418
EHA00641_bin.16	61326	4337	6315	11334	71739	1907	4736	17011	76564	134660	20335	10045	3668	163820	13657	6491	36425	3087	18547	59329	429930	113753	0	460991	2168	19651	6587	4783	3513	6220	19377	5120	48845	1426985	171808	9910	4994	2607
EHA00641_bin.17	4	10	79	1	0	5	0	7	6	480	13	4	0	41	0	0	122	316	0	0	0	272	0	140217	0	0	10	10	8	115	24	887	8	0	4	1	0	0
EHA00641_bin.3	20380	7484	2734	9971	21612	368	32615	9270	10006	131539	3954	6503	1274	4431	20773	2127	77958	602	9397	20419	94010	136591	0	247741	1310	20160	7447	17932	6022	2521	15887	20380	45769	9089	1846	22972	6932	121461
EHA00641_bin.4	279971	225746	22745	49252	13359	14056	4520	21362	43032	125194	9252	20325	8982	521792	33220	8478	190111	7089	208078	1171470	93063	6216	0	456882	6213	18751	9890	21288	34630	4614	9599	16260	6185	31510	1548036	4660	2785	2684
EHA00641_bin.5	7302	3621	6421	2213	24306	1521	25518	3787	23650	7108	6198	3465	4633	2872	1361	637	1558	22322	8442	106961	1773	2625	0	79092	21145	1848	9062	52788	3043	12888	8975	9879	693	2693	5717	178	78083	35
EHA00641_bin.6	7016	44449	6529	57191	217	765	10369	2740	48861	70925	1361	1679	226	2735	41568	39315	12329	32498	2540	3168	35421	1418	0	259475	41273	1899	1934	23831	4033	10777	2569	3022	1172	7809	3826	35	19661	310
EHA00641_bin.7	1221	116	23303	259	422	371	273	9303	471	718	9919	435	124	283	207	253	29498	112	13724	291	12484	767	0	117240	82	445	194	159	206	101	2344	791	34240	1058	486	122	534	1196
