Genome	EHI00696	EHI00687	EHI00757	EHI00686	EHI00693	EHI00697	EHI00688	EHI00730	EHI00692	EHI00676	EHI00682	EHI00679	EHI00690	EHI00683	EHI00733	EHI00685	EHI00752	EHI00681	EHI00700	EHI00680	EHI00751	EHI00742	EHI00758	EHI00675	EHI00732	EHI00684	EHI00694	EHI00743	EHI00731	EHI00698	EHI00699	EHI00674	EHI00753	EHI00695	EHI00678	EHI00689	EHI00677	EHI00691
EHA00641_bin.11	0.0041118893	0.0012870482	0.0031501737	0.0008664961	0.00062686077	0.00267249	0.026482088	0.0077302246	0.00398493	0.0027454915	0.0011458063	0.0047689024	0.00085221324	0.0023058953	0.0017837759	0.017725082	0.0031517607	0.00043800904	0.001480661	0.0032787197	0.0014457472	0.0023249392	0	0.9999984	0.00068240537	0.0025899664	0.003100977	0.16804153	0.002964496	0.0018075807	0.002789927	0.18332265	0.0035929435	0.00025709227	0.0026121843	0.00023804838	0.0030343235	0.00045070495
EHA00641_bin.12	0.017723756	0.00037993156	0.0028943326	0.0001511664	0.0001511664	0.0023279625	0.00021566407	0.0062018535	0.00085056294	0.0006217978	0.0016688771	0.0018825255	0.0011357636	0.0007427309	0.020779334	0.0032541086	0	0.14491618	0.005407726	0.0001511664	0.004097617	0.0004998569	0	0.9982112	0.043515768	0.005511527	0.00067420217	0.012668752	0.002235247	0.00044241367	0.002006482	0.01866905	0.0032672097	0.0001511664	0.0023299782	0.002515409	0	0.0007890886
EHA00641_bin.14	0.40648612	0.0044727665	0.02251246	0.00031820085	0.010414843	0.02047358	0.00096058747	0.8111882	0.013227279	0.0171604	0.0070552807	0.29267544	0.0077679907	0.8095952	0.0067410697	0.0008184445	0.012571925	0.0003546094	0.028205661	0.015069154	0.005946066	0.021126442	0	0.9994823	0.004174017	0.01306818	0.0015700568	0.01466068	0.0044218944	0.0053590406	0.67368805	0.07134382	0.008641297	0.016255176	0.92895544	0.0014977384	0.0002693236	0.0034343745
EHA00641_bin.16	0.7861079	0.09514708	0.06416041	0.013613174	0.7876328	0.05355027	0.030458704	0.27386805	0.8394498	0.9688198	0.46202162	0.14440486	0.028823175	0.9393609	0.16877523	0.012809117	0.13658263	0.02086388	0.4011174	0.82532865	0.93163484	0.7476383	0	0.99970746	0.023383774	0.38593	0.034725077	0.029337604	0.08212058	0.12064566	0.41439	0.105577245	0.47336322	0.98117286	0.94081324	0.24641205	0.018251419	0.027971705
EHA00641_bin.17	0.0003752464	0.0004903327	0.0013761736	0.000121570105	0	0.00026988564	0	0.00038173012	0.00072861015	0.0021453071	0.0005608434	0.00047574434	0	0.001761956	0	0	0.0011006147	0.0021453071	0	0	0	0.0020213055	0	0.9998695	0	0	0.0006281122	0.00058434694	0.00075859745	0.0019289122	0.0019086506	0.07257168	0.00014426319	0	0.00022693086	0.000121570105	0	0
EHA00641_bin.3	0.41649568	0.21266074	0.044913433	0.24988891	0.36146644	0.012612154	0.46445516	0.21431905	0.25992635	0.9618512	0.12310773	0.14385709	0.041242294	0.14058028	0.29579377	0.016540037	0.4174239	0.016387636	0.2569425	0.39888486	0.64898247	0.85964686	0	0.993477	0.034806527	0.26877192	0.059874155	0.26467714	0.15193142	0.07301593	0.37006283	0.42466578	0.48237965	0.23448744	0.058973897	0.37206545	0.16184807	0.62067556
EHA00641_bin.4	0.9268811	0.9067761	0.20851755	0.15147947	0.07726692	0.32139614	0.026019394	0.25402677	0.5456734	0.88718253	0.21369833	0.28580993	0.032198906	0.9162531	0.30286673	0.023337604	0.47587475	0.023805076	0.9228135	0.90757275	0.64797384	0.028307158	0	0.999477	0.11241968	0.20842749	0.07417448	0.12091643	0.36191836	0.054788664	0.13873875	0.28328657	0.061387397	0.1370447	0.9224752	0.023518268	0.012991873	0.018631004
EHA00641_bin.5	0.22837612	0.102022216	0.102989696	0.06771507	0.23670278	0.06689678	0.45063362	0.09971292	0.40599748	0.21974249	0.19908948	0.097548746	0.16934758	0.12408259	0.039715994	0.0051543224	0.010815442	0.50003976	0.24477719	0.5773682	0.037275594	0.024224093	0	0.9706718	0.39022392	0.07910829	0.2481055	0.5394027	0.08998341	0.32992363	0.2536459	0.34256598	0.012746335	0.09214848	0.19123615	0.0070205657	0.5193026	0.0018355012
EHA00641_bin.6	0.044958666	0.28521103	0.06243996	0.31309468	0.0025851491	0.013181051	0.14208633	0.03960592	0.52154136	0.6011574	0.026431732	0.021481823	0.0029024146	0.054275617	0.25914237	0.19853215	0.050170943	0.2874886	0.038374197	0.032549586	0.2784126	0.004385409	0	0.9873235	0.30726603	0.03542597	0.016262079	0.1959593	0.05712132	0.170416	0.037738454	0.04951502	0.008188559	0.10888101	0.06334836	0.00061031233	0.20698187	0.0015409176
EHA00641_bin.7	0.047202017	0.003060108	0.5291149	0.0026843052	0.0037316105	0.033362933	0.0022607816	0.42457017	0.004006006	0.0032109404	0.46021688	0.029607462	0.003193045	0.0038475043	0.0038824428	0.0030933423	0.35579827	0.0022343646	0.5435846	0.003717976	0.25733796	0.0043681744	0	0.99756795	0.0028078684	0.003619125	0.0033106431	0.0026527753	0.0026076108	0.0038227916	0.15208507	0.06630319	0.5913959	0.0032416182	0.0040085623	0.0029859701	0.0035415785	0.004584623
EHA00641_bin.9	0.046227377	0.032703124	0.05080673	0.006501936	0.03691369	0.074861914	0.028924141	0.12810425	0.9150591	0.014074612	0.007822686	0.14915763	0.0066540907	0.8381383	0.0102718705	0.003250685	0.8379833	0.0033643772	0.69254977	0.0057915025	0.31501386	0.90931565	0	0.9997144	0.008737878	0.04733036	0.0069091907	0.006830002	0.2517355	0.31722885	0.033068523	0.16551231	0.8443625	0.039736755	0.836296	0.0032812292	0.0033994461	0.00573098
EHA00642_bin.19	0.47822937	0.23541714	0.34703532	0.04982789	0.82867587	0.28354368	0.6280012	0.20958674	0.06823569	0.9953818	0.15236975	0.23316263	0.56857955	0.62529755	0.46255404	0.01570174	0.111318305	0.43279094	0.34494177	0.7753902	0.54507744	0.033516634	8.170471e-05	0.48109204	0.7521237	0.45891547	0.47123462	0.7048575	0.52990353	0.08412916	0.4868533	0.06642811	0.18533024	0.41210222	0.5749955	0.47754443	0.3755859	0.008776175
EHA00642_bin.21	0.11230263	0.1538808	0.100441106	0.27068108	0.40102136	0.020585094	0.2713028	0.061380398	0.23900847	0.9714939	0.07850566	0.08102192	0.21921848	0.04260425	0.3795558	0.016054574	0.052463267	0.093685985	0.09738806	0.0617915	0.91071886	0.19738449	0	0.05671868	0.4150593	0.060807396	0.087097794	0.40724522	0.12577258	0.08546682	0.12262	0.02939717	0.059515808	0.31104347	0.041698337	0.17709537	0.16857998	0.012193475
