EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI00678	AEX07E1L1I1	Anolis sagrei	San Salvador	Faecal	Squamata	Female	Bahamas	24.058622	-74.467387	0.6509999999999999	24800578	74466	0.024948240898221896	3646847093	13499185	0.040606479	19.35624969	0.803067504
EHI00682	AEX14E1L1I1	Anolis sagrei	Chub Cay	Faecal	Squamata	Male	Bahamas	25.409863	-77.870543	0.6498999999999999	10411256	972352	0.021577947053923463	1361957203	177543909	0.035478628	19.27684429	0.66467316
EHI00743	AEV85E1L1I1	Anolis sagrei	Cockpit	Faecal	Squamata	Female	Jamaica	18.382479	-77.51726	0.6920000000000001	43700098	2768900	0.036669947	6012075874	482743845	0.045516248	18.76390093	0.932888726
EHI00679	AEX08E1L1I1	Anolis sagrei	Chub Cay	Faecal	Squamata	Male	Bahamas	25.409863	-77.870543	0.7045999999999999	21268260	956862	0.035027773	2964925892	174405014	0.050426274	19.82943533	0.70686684
EHI00674	AEV73E1L1I1	Anolis sagrei	Cockpit	Faecal	Squamata	Male	Jamaica	18.382479	-77.51726	0.5913	6666074	28684	0.037237106	977987360	3426275	0.055047363	18.66015353	0.696925119
EHI00689	AEX46E1L1I1	Anolis sagrei	Andros	Faecal	Squamata	Female	Bahamas	24.66547	-77.801679	0.6601	13144232	66234	0.028195439	1932857223	11112116	0.041831545	17.77007846	0.862067291
EHI00688	AEX44E1L1I1	Anolis sagrei	Acklins	Faecal	Squamata	Female	Bahamas	22.65397	-73.934932	0.674	25249100	664102	0.016154041	3605222761	120113355	0.032267319	18.19148615	0.904213257
EHI00690	AEX48E1L1I1	Anolis sagrei	Andros	Faecal	Squamata	Male	Bahamas	24.66547	-77.801679	0.591	16001882	285218	0.023914812424591037	2321823649	54358956	0.033715057718482155	19.11397882	0.766577011
EHI00692	AEX59E1L1I1	Anolis sagrei	Andros	Faecal	Squamata	Female	Bahamas	24.66547	-77.801679	0.6986	33126266	220626	0.025550114402663082	4873372294	40174803	0.036413098	19.10453425	0.819354212
EHI00753	AEX26E1L1I1	Anolis sagrei	Chub Cay	Faecal	Squamata	Male	Bahamas	25.409863	-77.870543	0.6579999999999999	19978342	510878	0.098381836	2835928106	79805146	0.12275734647368086	18.54469726	0.916027205
